age,salary,experience,target
22,20000,0,0
23,25000,1,0
24,30000,1,0
25,32000,2,0
26,35000,2,0
27,37000,3,0
28,40000,3,0
29,42000,4,0
30,45000,4,0
31,47000,5,1
32,50000,5,1
33,52000,6,1
34,55000,6,1
35,58000,7,1
36,60000,7,1
37,62000,8,1
38,65000,8,1
39,67000,9,1
40,70000,9,1
41,72000,10,1
22,21000,0,0
23,26000,1,0
24,31000,1,0
25,33000,2,0
26,36000,2,0
27,38000,3,0
28,41000,3,0
29,43000,4,0
30,46000,4,0
31,48000,5,1
32,51000,5,1
33,53000,6,1
34,56000,6,1
35,59000,7,1
36,61000,7,1
37,63000,8,1
38,66000,8,1
39,68000,9,1
40,71000,9,1
41,73000,10,1
22,22000,0,0
23,27000,1,0
24,32000,1,0
25,34000,2,0
26,37000,2,0
27,39000,3,0
28,42000,3,0
29,44000,4,0
30,47000,4,0
31,49000,5,1
32,52000,5,1
33,54000,6,1
34,57000,6,1
35,60000,7,1
36,62000,7,1
37,64000,8,1
38,67000,8,1
39,69000,9,1
40,72000,9,1
41,74000,10,1
22,23000,0,0
23,28000,1,0
24,33000,1,0
25,35000,2,0
26,38000,2,0
27,40000,3,0
28,43000,3,0
29,45000,4,0
30,48000,4,0
31,50000,5,1
32,53000,5,1
33,55000,6,1
34,58000,6,1
35,61000,7,1
36,63000,7,1
37,65000,8,1
38,68000,8,1
39,70000,9,1
40,73000,9,1
41,75000,10,1
22,24000,0,0
23,29000,1,0
24,34000,1,0
25,36000,2,0
26,39000,2,0
27,41000,3,0
28,44000,3,0
29,46000,4,0
30,49000,4,0
31,51000,5,1
32,54000,5,1
33,56000,6,1
34,59000,6,1
35,62000,7,1
36,64000,7,1
37,66000,8,1
38,69000,8,1
39,71000,9,1
40,74000,9,1
41,76000,10,1
